source_file,chunk_file,chunk_index,start_line,end_line,size_bytes,size_mb,oversize_line,output_path
GameAssembly_part1.lst,GameAssembly_part1.chunk000.lst,0,1,202911,10485760,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk000.lst
GameAssembly_part1.lst,GameAssembly_part1.chunk001.lst,1,202912,400645,10485798,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk001.lst
GameAssembly_part1.lst,GameAssembly_part1.chunk002.lst,2,400646,591011,10485806,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk002.lst
GameAssembly_part1.lst,GameAssembly_part1.chunk003.lst,3,591012,760201,10485804,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk003.lst
GameAssembly_part1.lst,GameAssembly_part1.chunk004.lst,4,760202,926047,10485812,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk004.lst
GameAssembly_part1.lst,GameAssembly_part1.chunk005.lst,5,926048,1095994,10485803,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk005.lst
GameAssembly_part1.lst,GameAssembly_part1.chunk006.lst,6,1095995,1260413,10485760,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk006.lst
GameAssembly_part1.lst,GameAssembly_part1.chunk007.lst,7,1260414,1431095,10485770,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk007.lst
GameAssembly_part1.lst,GameAssembly_part1.chunk008.lst,8,1431096,1598566,10485835,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk008.lst
GameAssembly_part1.lst,GameAssembly_part1.chunk009.lst,9,1598567,1598604,2609,0.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part1\GameAssembly_part1.chunk009.lst
