source_file,chunk_file,chunk_index,start_line,end_line,size_bytes,size_mb,oversize_line,output_path
GameAssembly_part4.lst,GameAssembly_part4.chunk000.lst,0,1,253557,10485771,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk000.lst
GameAssembly_part4.lst,GameAssembly_part4.chunk001.lst,1,253558,450461,10485766,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk001.lst
GameAssembly_part4.lst,GameAssembly_part4.chunk002.lst,2,450462,708879,10485797,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk002.lst
GameAssembly_part4.lst,GameAssembly_part4.chunk003.lst,3,708880,964745,10485762,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk003.lst
GameAssembly_part4.lst,GameAssembly_part4.chunk004.lst,4,964746,1223695,10485763,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk004.lst
GameAssembly_part4.lst,GameAssembly_part4.chunk005.lst,5,1223696,1448677,10485781,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk005.lst
GameAssembly_part4.lst,GameAssembly_part4.chunk006.lst,6,1448678,1672535,10485804,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk006.lst
GameAssembly_part4.lst,GameAssembly_part4.chunk007.lst,7,1672536,1795395,10485760,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk007.lst
GameAssembly_part4.lst,GameAssembly_part4.chunk008.lst,8,1795396,1945256,10485781,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk008.lst
GameAssembly_part4.lst,GameAssembly_part4.chunk009.lst,9,1945257,1945327,2911,0.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part4\GameAssembly_part4.chunk009.lst
