source_file,chunk_file,chunk_index,start_line,end_line,size_bytes,size_mb,oversize_line,output_path
GameAssembly_part2.lst,GameAssembly_part2.chunk000.lst,0,1,167445,10485773,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk000.lst
GameAssembly_part2.lst,GameAssembly_part2.chunk001.lst,1,167446,334957,10485765,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk001.lst
GameAssembly_part2.lst,GameAssembly_part2.chunk002.lst,2,334958,504193,10485940,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk002.lst
GameAssembly_part2.lst,GameAssembly_part2.chunk003.lst,3,504194,669304,10485776,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk003.lst
GameAssembly_part2.lst,GameAssembly_part2.chunk004.lst,4,669305,840450,10485764,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk004.lst
GameAssembly_part2.lst,GameAssembly_part2.chunk005.lst,5,840451,1011475,10485791,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk005.lst
GameAssembly_part2.lst,GameAssembly_part2.chunk006.lst,6,1011476,1175742,10485812,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk006.lst
GameAssembly_part2.lst,GameAssembly_part2.chunk007.lst,7,1175743,1343939,10485812,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk007.lst
GameAssembly_part2.lst,GameAssembly_part2.chunk008.lst,8,1343940,1510432,10485829,10.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk008.lst
GameAssembly_part2.lst,GameAssembly_part2.chunk009.lst,9,1510433,1510469,2627,0.0,False,e:\trae\ucf1.7-modifier\01-游戏逆向分析-相关信息\IDA-汇编代码\切分输出\part2\GameAssembly_part2.chunk009.lst
